brand,model,year,price,mileage,fuel_type,transmission,engine_capacity,body_type,location,condition,seller_type,color,features_count,vehicle_age,tax_era,brand_category,fuel_efficiency,price_per_km,is_popular_model
Suzuki,Every,2012,619706,199879,Hybrid,Automatic,1500,Van,Kandy,Used,Individual,White,7,12,Low Tax Era,Standard,High,3.1,0
BMW,X3,2021,5042039,17433,Petrol,Automatic,3000,Hatchback,Kandy,Used,Individual,Silver,14,3,High Tax Era,Luxury,Low,289.21,0
BMW,530i,2016,3183433,75773,Petrol,Automatic,2000,SUV,Negombo,Reconditioned,Individual,White,18,8,Medium Tax Era,Luxury,Low,42.01,0
Toyota,Premio,2013,1281523,200174,Hybrid,Automatic,1500,Sedan,Gampaha,Reconditioned,Dealer,White,10,11,Low Tax Era,Standard,High,6.4,0
Honda,Insight,2021,3518571,21873,Diesel,Automatic,1800,Coupe,Gampaha,Reconditioned,Dealer,Black,12,3,High Tax Era,Standard,Low,160.86,0
Nissan,Juke,2019,2041246,52185,Electric,Automatic,0,Wagon,Matara,Used,Individual,Green,5,5,Medium Tax Era,Standard,Very High,39.11,0
Toyota,Axio,2018,2542284,53986,Hybrid,Automatic,1300,Sedan,Colombo,Used,Dealer,Silver,6,6,Medium Tax Era,Standard,High,47.09,1
Suzuki,Spacia,2014,1053722,90965,Hybrid,Automatic,2000,Coupe,Negombo,Reconditioned,Individual,White,13,10,Low Tax Era,Standard,High,11.58,0
Toyota,Axio,2009,632200,202096,Petrol,Automatic,2000,Sedan,Kandy,Used,Dealer,White,11,15,Low Tax Era,Standard,Low,3.13,1
Toyota,Prius,2017,2379672,82557,Hybrid,Manual,1800,Van,Anuradhapura,Used,Individual,Blue,11,7,Medium Tax Era,Standard,High,28.82,1
Toyota,Corolla,2019,2785431,95016,Diesel,Automatic,1500,Sedan,Colombo,Used,Individual,White,19,5,Medium Tax Era,Standard,Low,29.32,0
Toyota,Vezel,2018,2296965,94384,Petrol,Automatic,1800,SUV,Kandy,Used,Individual,White,21,6,Medium Tax Era,Standard,Low,24.34,1
BMW,X3,2010,1232301,170084,Petrol,Automatic,2400,Wagon,Batticaloa,Used,Individual,Silver,15,14,Low Tax Era,Luxury,Low,7.25,0
Toyota,Vitz,2015,1929668,92083,Electric,Automatic,0,Hatchback,Matara,Reconditioned,Individual,Black,20,9,Low Tax Era,Standard,Very High,20.96,0
Honda,Vezel,2013,1237085,204249,Hybrid,Automatic,1800,SUV,Gampaha,Reconditioned,Individual,Blue,15,11,Low Tax Era,Standard,High,6.06,1
Toyota,CH-R,2017,2090470,100713,Petrol,Automatic,1300,SUV,Galle,Reconditioned,Individual,Green,16,7,Medium Tax Era,Standard,Medium,20.76,0
KIA,Sportage,2014,1116752,95151,Hybrid,Manual,1000,Van,Colombo,Used,Dealer,Silver,7,10,Low Tax Era,Standard,High,11.74,0
Hyundai,i10,2008,500000,101357,Petrol,Automatic,2000,Sedan,Colombo,Used,Individual,White,12,16,Low Tax Era,Standard,Low,4.93,0
Honda,Fit,2017,2069609,80818,Hybrid,Automatic,2000,Hatchback,Anuradhapura,Used,Individual,Black,5,7,Medium Tax Era,Standard,High,25.61,1
Suzuki,Every,2013,876530,125714,Hybrid,Manual,1000,Van,Kandy,Reconditioned,Individual,Grey,13,11,Low Tax Era,Standard,High,6.97,0
Toyota,Premio,2017,2637935,106235,Hybrid,Automatic,2000,Sedan,Gampaha,Used,Individual,Black,14,7,Medium Tax Era,Standard,High,24.83,0
Honda,Accord,2010,772674,152991,Petrol,Automatic,1500,Hatchback,Ratnapura,Reconditioned,Dealer,Red,20,14,Low Tax Era,Standard,Low,5.05,0
Toyota,Camry,2019,3741843,69592,Hybrid,Automatic,1000,Sedan,Colombo,Used,Individual,Black,18,5,Medium Tax Era,Standard,High,53.77,0
Toyota,Prius,2011,802304,222038,Petrol,Automatic,1300,Coupe,Kurunegala,Used,Individual,White,10,13,Low Tax Era,Standard,Medium,3.61,1
Suzuki,Every,2016,1086699,59508,Petrol,Manual,1800,Van,Colombo,Reconditioned,Individual,Silver,12,8,Medium Tax Era,Standard,Low,18.26,0
BMW,X3,2018,3249429,113847,Petrol,Automatic,2400,Wagon,Colombo,Used,Individual,Silver,5,6,Medium Tax Era,Luxury,Low,28.54,0
Toyota,Prius,2013,1337387,85237,Hybrid,Automatic,2000,Sedan,Negombo,Reconditioned,Dealer,Silver,7,11,Low Tax Era,Standard,High,15.69,1
Suzuki,Every,2011,596058,173468,Petrol,Automatic,1000,Van,Batticaloa,Used,Individual,White,20,13,Low Tax Era,Standard,Medium,3.44,0
Toyota,Premio,2015,1923960,63049,Electric,Manual,0,Sedan,Colombo,Used,Dealer,Black,9,9,Low Tax Era,Standard,Very High,30.51,0
Honda,Accord,2018,2405101,89115,Hybrid,Manual,1800,Hatchback,Colombo,Used,Dealer,Blue,16,6,Medium Tax Era,Standard,High,26.99,0
BMW,318i,2013,1608873,231836,Petrol,Automatic,2400,Wagon,Negombo,Used,Individual,White,14,11,Low Tax Era,Luxury,Low,6.94,0
