brand,model,year,price,mileage,fuel_type,transmission,engine_capacity,body_type,location,condition,seller_type,color,features_count,vehicle_age,tax_era,brand_category,fuel_efficiency,is_popular_model,log_price,age_group,mileage_per_year,mileage_category,brand_age_interaction,is_premium_combo,engine_category,fuel_efficiency_enc,tax_era_enc,mileage_category_enc,engine_category_enc
Suzuki,Every,2012,619706.0,199879,Hybrid,Automatic,1500,Van,Kandy,Used,Individual,White,7,12,Low Tax Era,Standard,High,0,13.337002064674687,Old (8-12yr),16656.583333333332,Very High,0,0,Small,3,1,4,2
BMW,X3,2021,4364980.125,17433,Petrol,Automatic,3000,Hatchback,Kandy,Used,Individual,Silver,14,3,High Tax Era,Luxury,Low,0,15.28912442307696,New (0-3yr),5811.0,Low,3,0,Large,1,3,1,4
BMW,530i,2016,3183433.0,75773,Petrol,Automatic,2000,SUV,Negombo,Reconditioned,Individual,White,18,8,Medium Tax Era,Luxury,Low,0,14.973471046325455,Old (8-12yr),9471.625,Medium,8,0,Medium,1,2,2,3
Toyota,Premio,2013,1281523.0,200174,Hybrid,Automatic,1500,Sedan,Gampaha,Reconditioned,Dealer,White,10,11,Low Tax Era,Standard,High,0,14.063560552663958,Old (8-12yr),18197.636363636364,Very High,0,0,Small,3,1,4,2
Honda,Insight,2021,3518571.0,21873,Diesel,Automatic,1800,Coupe,Gampaha,Reconditioned,Dealer,Black,12,3,High Tax Era,Standard,Low,0,15.073565783444968,New (0-3yr),7291.0,Low,0,0,Medium,1,3,1,3
Nissan,Juke,2019,2041246.0,52185,Electric,Automatic,0,Wagon,Matara,Used,Individual,Green,5,5,Medium Tax Era,Standard,Very High,0,14.529071453578041,Mid (4-7yr),10437.0,Medium,0,0,Micro,4,2,2,1
Toyota,Axio,2018,2542284.0,53986,Hybrid,Automatic,1300,Sedan,Colombo,Used,Dealer,Silver,6,6,Medium Tax Era,Standard,High,1,14.748573840890703,Mid (4-7yr),8997.666666666666,Medium,0,0,Small,3,2,2,2
Suzuki,Spacia,2014,1053722.0,90965,Hybrid,Automatic,2000,Coupe,Negombo,Reconditioned,Individual,White,13,10,Low Tax Era,Standard,High,0,13.867840165194133,Old (8-12yr),9096.5,Medium,0,0,Medium,3,1,2,3
Toyota,Axio,2009,632200.0,202096,Petrol,Automatic,2000,Sedan,Kandy,Used,Dealer,White,11,15,Low Tax Era,Standard,Low,1,13.356962660540322,Vintage (13+yr),13473.066666666668,Very High,0,0,Medium,1,1,4,3
Toyota,Prius,2017,2379672.0,82557,Hybrid,Manual,1800,Van,Anuradhapura,Used,Individual,Blue,11,7,Medium Tax Era,Standard,High,1,14.682473641250123,Mid (4-7yr),11793.857142857143,Medium,0,0,Medium,3,2,2,3
Toyota,Corolla,2019,2785431.0,95016,Diesel,Automatic,1500,Sedan,Colombo,Used,Individual,White,19,5,Medium Tax Era,Standard,Low,0,14.83991353601076,Mid (4-7yr),19003.2,Medium,0,0,Small,1,2,2,2
Toyota,Vezel,2018,2296965.0,94384,Petrol,Automatic,1800,SUV,Kandy,Used,Individual,White,21,6,Medium Tax Era,Standard,Low,1,14.647099679646145,Mid (4-7yr),15730.666666666666,Medium,0,0,Medium,1,2,2,3
BMW,X3,2010,1232301.0,170084,Petrol,Automatic,2400,Wagon,Batticaloa,Used,Individual,Silver,15,14,Low Tax Era,Luxury,Low,0,14.024394522906315,Vintage (13+yr),12148.857142857143,Very High,14,0,Large,1,1,4,4
Toyota,Vitz,2015,1929668.0,92083,Electric,Automatic,0,Hatchback,Matara,Reconditioned,Individual,Black,20,9,Low Tax Era,Standard,Very High,0,14.472859043582144,Old (8-12yr),10231.444444444445,Medium,0,0,Micro,4,1,2,1
Honda,Vezel,2013,1237085.0,204249,Hybrid,Automatic,1800,SUV,Gampaha,Reconditioned,Individual,Blue,15,11,Low Tax Era,Standard,High,1,14.028269171997623,Old (8-12yr),18568.090909090908,Very High,0,1,Medium,3,1,4,3
Toyota,CH-R,2017,2090470.0,100713,Petrol,Automatic,1300,SUV,Galle,Reconditioned,Individual,Green,16,7,Medium Tax Era,Standard,Medium,0,14.552899957403177,Mid (4-7yr),14387.57142857143,High,0,0,Small,2,2,3,2
KIA,Sportage,2014,1116752.0,95151,Hybrid,Manual,1000,Van,Colombo,Used,Dealer,Silver,7,10,Low Tax Era,Standard,High,0,13.925935925577447,Old (8-12yr),9515.1,Medium,0,0,Small,3,1,2,2
Hyundai,i10,2008,500000.0,101357,Petrol,Automatic,2000,Sedan,Colombo,Used,Individual,White,12,16,Low Tax Era,Standard,Low,0,13.122365377402328,Vintage (13+yr),6334.8125,High,0,0,Medium,1,1,3,3
Honda,Fit,2017,2069609.0,80818,Hybrid,Automatic,2000,Hatchback,Anuradhapura,Used,Individual,Black,5,7,Medium Tax Era,Standard,High,1,14.542870741693848,Mid (4-7yr),11545.42857142857,Medium,0,0,Medium,3,2,2,3
Suzuki,Every,2013,876530.0,125714,Hybrid,Manual,1000,Van,Kandy,Reconditioned,Individual,Grey,13,11,Low Tax Era,Standard,High,0,13.683727350658668,Old (8-12yr),11428.545454545454,High,0,0,Small,3,1,3,2
