Feature,Importance,Std
price_per_km,2.3126990683373108,0.11482998294198922
mileage,0.07966242617272926,0.0056790991536706135
mileage_per_year,0.07692849554630483,0.008788892906301348
brand_Suzuki,0.013535512408214823,0.0012065863092171258
brand_category_Standard,0.006199731449636936,0.0013063893501290445
brand_Toyota,0.0035971627590083875,0.00040551407894418744
fuel_efficiency_enc,0.0023039951805009173,0.00033260392607203893
features_count,0.001942907764557078,0.0006146548631842701
fuel_type_Petrol,0.0011617228317670424,0.0001671848603452754
transmission_Manual,0.0004807637670138587,0.00015690200283507576
brand_Honda,0.0004170288341804662,0.0001650500937672812
brand_Nissan,0.00037325615124592646,0.00014631272854310253
vehicle_age,0.00019443044831641832,7.008918395864976e-05
year,0.00017751784497895828,0.00021058964784114755
seller_type_Individual,0.00011933870102187605,8.749749576392571e-05
brand_Hyundai,6.308755685249245e-05,4.521360904994681e-05
location_Matara,4.605144929957783e-05,2.2480369185439294e-05
fuel_type_Hybrid,2.4366656293217658e-05,1.6349285301617995e-05
location_Gampaha,1.7436227877187793e-05,4.7976400313414574e-05
brand_Mitsubishi,9.163178463822418e-06,7.235153350544009e-06
location_Jaffna,5.748969470464882e-06,8.063540741975211e-06
body_type_Sedan,5.01766676329618e-06,2.433950313356951e-05
location_Batticaloa,3.3192164013762237e-06,7.083402874032189e-06
location_Kalutara,1.590595648737203e-06,1.4404682902237782e-06
brand_KIA,9.204597650303015e-07,5.10900426830909e-07
location_Ratnapura,5.072680655193728e-07,3.3630529848186906e-05
tax_era_enc,0.0,0.0
brand_Benz,0.0,0.0
location_Kandy,0.0,0.0
fuel_type_Electric,0.0,0.0
location_Negombo,-1.9084405457503452e-06,4.131567122891706e-05
brand_Mazda,-3.497819032349803e-06,2.8481657765408852e-06
location_Galle,-6.04476195619208e-06,1.1437122857983284e-05
body_type_Hatchback,-1.0649173566090742e-05,3.917551855202019e-05
body_type_SUV,-1.4243540913350117e-05,3.195552259726195e-05
engine_capacity,-1.6044335100351416e-05,6.805012031373772e-05
location_Colombo,-3.3366378058929945e-05,0.00012175382436067805
body_type_Wagon,-3.457489424260052e-05,3.1575194608971795e-05
body_type_Van,-3.8533604953328024e-05,2.6767649850067265e-05
location_Kurunegala,-6.256648143514454e-05,1.4549810870995294e-05
condition_Used,-0.0001780154117135946,7.060980889795768e-05
