model,year,price,mileage,engine_capacity,color,features_count,vehicle_age,tax_era,fuel_efficiency,is_popular_model,log_price,age_group,mileage_per_year,mileage_category,brand_age_interaction,is_premium_combo,engine_category,fuel_efficiency_enc,tax_era_enc,mileage_category_enc,engine_category_enc,brand_Benz,brand_Honda,brand_Hyundai,brand_KIA,brand_Mazda,brand_Mitsubishi,brand_Nissan,brand_Suzuki,brand_Toyota,fuel_type_Electric,fuel_type_Hybrid,fuel_type_Petrol,transmission_Manual,body_type_Hatchback,body_type_SUV,body_type_Sedan,body_type_Van,body_type_Wagon,condition_Used,seller_type_Individual,brand_category_Standard,location_Batticaloa,location_Colombo,location_Galle,location_Gampaha,location_Jaffna,location_Kalutara,location_Kandy,location_Kurunegala,location_Matara,location_Negombo,location_Ratnapura
Every,2012,619706.0,199879,1500,White,7,12,Low Tax Era,High,0,13.337002064674687,Old (8-12yr),16656.583333333332,Very High,0,0,Small,3,1,4,2,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,True,True,False,False,False,False,False,False,True,False,False,False,False
X3,2021,4364980.125,17433,3000,Silver,14,3,High Tax Era,Low,0,15.28912442307696,New (0-3yr),5811.0,Low,3,0,Large,1,3,1,4,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False
530i,2016,3183433.0,75773,2000,White,18,8,Medium Tax Era,Low,0,14.973471046325455,Old (8-12yr),9471.625,Medium,8,0,Medium,1,2,2,3,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
Premio,2013,1281523.0,200174,1500,White,10,11,Low Tax Era,High,0,14.063560552663958,Old (8-12yr),18197.636363636364,Very High,0,0,Small,3,1,4,2,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
Insight,2021,3518571.0,21873,1800,Black,12,3,High Tax Era,Low,0,15.073565783444968,New (0-3yr),7291.0,Low,0,0,Medium,1,3,1,3,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
Juke,2019,2041246.0,52185,0,Green,5,5,Medium Tax Era,Very High,0,14.529071453578041,Mid (4-7yr),10437.0,Medium,0,0,Micro,4,2,2,1,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,True,False,False
Axio,2018,2542284.0,53986,1300,Silver,6,6,Medium Tax Era,High,1,14.748573840890703,Mid (4-7yr),8997.666666666666,Medium,0,0,Small,3,2,2,2,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False
Spacia,2014,1053722.0,90965,2000,White,13,10,Low Tax Era,High,0,13.867840165194133,Old (8-12yr),9096.5,Medium,0,0,Medium,3,1,2,3,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False
Axio,2009,632200.0,202096,2000,White,11,15,Low Tax Era,Low,1,13.356962660540322,Vintage (13+yr),13473.066666666668,Very High,0,0,Medium,1,1,4,3,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False
Prius,2017,2379672.0,82557,1800,Blue,11,7,Medium Tax Era,High,1,14.682473641250123,Mid (4-7yr),11793.857142857143,Medium,0,0,Medium,3,2,2,3,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False
